Frequency_MHz,Mean,Std_Dev,Min,Max
1340.0,1969.3254596493346,512.2487618110331,913.6410673782127,2853.501883651034
1350.0,1999.9732965079697,454.9955749840274,1195.679723002778,2895.6023552967354
1360.0,2289.036669835486,570.4216371671641,1026.840786100747,2896.309375740099
1370.0,2121.4969019938753,486.3984116240418,994.0648872181334,2896.309375740099
1380.0,2058.9132755405044,364.3630110248181,1376.1224509468627,2896.309375740099
1390.0,1763.449019767202,540.0162170547244,770.4128763202234,2895.6023552967354
1400.0,1877.5669146224861,596.6447528596884,361.581249513854,2693.735324786012
1410.0,1528.0564359653627,551.0518020157756,357.24641355792505,2362.2370753165314
1420.0,1672.4865898237733,512.3220928865409,829.5745897747831,2896.309375740099
1430.0,1881.9128317974612,534.4823042122724,830.1716689938291,2896.309375740099
1440.0,2024.2969462677015,468.02695791082135,1218.2286320719934,2895.6023552967354
1450.0,1871.5978084484514,589.169587988853,349.36656966573094,2895.6023552967354
1460.0,1775.3186774074438,672.8428298260187,403.0682324371396,2895.6023552967354
1470.0,1962.8156492998303,508.62238140263247,874.2819911218577,2895.6023552967354
1480.0,1828.3042407376697,526.9716532230663,344.28476585524373,2526.7971822051727
1490.0,1684.716320126947,740.7264817042247,308.2920693109052,2895.6023552967354
1500.0,2048.307767659664,414.8011197490723,1111.6267359145334,2895.6023552967354
1510.0,2049.3097811344583,555.7892594739835,1133.8540470448568,2896.309375740099
1520.0,2133.517932251726,478.94266124487115,926.1992226297754,2896.309375740099
1530.0,2121.394534225369,456.8909609072271,1321.0071915019994,2896.309375740099
1540.0,1851.0992129194526,625.9303347250265,708.246426041106,2896.309375740099
1550.0,1883.2421043255072,547.2665680412382,828.2179664798391,2895.6023552967354
1560.0,1966.1495418657996,600.0362480891512,930.2736156636929,2896.309375740099
1570.0,1998.974477202489,401.58630391615225,1159.9935344647402,2896.309375740099
1580.0,1833.1706788438908,570.9893363514149,862.0,2896.309375740099
1590.0,1693.276757810462,465.8548502043215,802.4369134081506,2508.1881907065904
1600.0,1504.983432554873,559.5157439566403,788.7673928351754,2561.200499765686
1610.0,1922.7542941789638,612.9757615243483,703.6149515182292,2631.236971464182
1620.0,2063.2290813244213,577.5114180491886,654.0282868500415,2896.309375740099
1630.0,2146.583432403582,510.60960403272765,1210.161146294162,2896.309375740099
1640.0,1950.6554174773657,411.3564418678827,1235.7592807662827,2896.309375740099
1650.0,1802.6055166878496,501.09575053729054,925.6808305242147,2645.1049128531745
1660.0,1488.6171808410527,635.6757104883253,307.36623106645925,2574.2824242883685
1670.0,1375.4073992820188,752.299571979323,327.09937327974194,2895.6023552967354
1680.0,1929.2905749166616,712.5639883812095,326.1426068455331,2896.309375740099
1690.0,1751.2558453338002,612.7792785205761,313.2682556532021,2540.055117512217
1700.0,1645.4604180804354,481.1633117046222,706.7538468236307,2545.0785842484315
1710.0,1905.7694214789378,334.39867247917425,1234.935625852619,2557.4006334557753
