Frequency_MHz,Mean,Std_Dev,Min,Max
670.0,2247.1063160746066,450.10385941203697,1417.0352853757736,2895.6023552967354
680.0,1877.2531973515852,448.73461314372594,1211.3863958291754,2871.667285741856
690.0,1764.1351021555083,348.6446060715328,1203.7881873485883,2324.715896620488
700.0,1610.4844711655148,504.1414168016076,905.4971010445036,2621.6889594305426
710.0,1814.7402791772117,400.4488470851378,979.4350412355075,2443.856378758785
720.0,1757.8477107939852,536.6264861673765,962.4868830275041,2895.6023552967354
730.0,1654.6270954476674,470.8991983539732,841.7244204607587,2474.8626224499817
740.0,1653.1090192754366,611.8799967233799,519.3197473618734,2592.5836534237424
750.0,1832.99023513547,710.1334507668365,256.628135635982,2894.895162177726
760.0,1769.0473775957112,730.4815780166788,263.65507770570247,2751.750352048674
770.0,1594.4582642823211,557.1462675651775,324.23448305200355,2328.585192772641
780.0,1730.7413685608085,762.389687202194,307.3044093403152,2894.895162177726
790.0,1679.1295839031477,510.6141796515664,305.19829619445784,2408.508252009945
800.0,1647.031468090333,598.1238526594656,288.40423020475964,2291.5298383394443
810.0,1786.4334070585883,567.3672903376118,994.0663961728109,2895.6023552967354
820.0,2175.3460633657455,393.60419789320605,831.3633381380249,2895.6023552967354
830.0,1783.1396263787933,459.5411546724595,1069.8308277480137,2658.3124346095965
840.0,1962.7359377822424,473.3378904525399,1045.566831914632,2712.6756164348144
850.0,1625.8862166005817,767.754212406709,274.8545069668678,2747.822410564409
860.0,1467.353906513653,719.145543710814,276.40007235889067,2809.9964412788854
870.0,1460.5327630450995,595.7983283560366,594.8108943185221,2895.6023552967354
880.0,1698.8603835414658,617.9493808018127,336.0952246016001,2895.6023552967354
890.0,1546.7067509009153,721.1433052573766,312.41798923877604,2895.6023552967354
900.0,1554.8456724983917,616.0363745048049,644.0496875241848,2799.015898490039
910.0,1935.059611104516,675.7135942631606,644.9201500961185,2895.6023552967354
920.0,1902.7215272735907,608.9258326345295,289.15220905260264,2825.069556665818
930.0,1670.704329995824,717.3864800323493,262.0019083899963,2608.000191717784
940.0,1774.24981423914,410.8453683228972,697.2926215011887,2303.3063191855313
950.0,1603.7548463591163,546.4566522421045,321.10434441159464,2440.5839465177182
960.0,1669.9940958504021,673.1290811016838,290.0844704564517,2655.8962705647973
970.0,1922.5976714087537,609.9253018965836,331.68961394653286,2895.6023552967354
980.0,1653.3293295046556,765.5434985679694,264.46171745642124,2894.895162177726
990.0,1675.3633860250993,638.22344423134,482.37018979203094,2878.6776478098413
1000.0,1777.4628101891428,579.4167053119161,477.05450422357404,2895.6023552967354
1010.0,1419.87957008069,495.27003388805485,301.86255150316344,2633.310653910776
1020.0,1582.7606582298997,721.1055808684711,305.3604427557702,2571.253585315925
1030.0,1222.6642425141429,797.5979626837806,294.5386222552146,2895.6023552967354
1040.0,1496.4278936286398,716.6795931029097,293.07336965340266,2264.0781788622053
1050.0,1752.2261862322919,392.6993153569776,855.7622333335353,2249.2674363000947
1060.0,1762.4551544054507,463.6024468331227,649.0269640007261,2642.575259098594
1070.0,1736.0821264573003,356.2737854452656,1151.3804757767955,2084.573097782853
1080.0,1821.754276624379,450.2488596329654,847.624917047629,2894.895162177726
1090.0,2071.292123702496,476.23718700664585,1184.9134989525605,2894.895162177726
1100.0,1904.6641020172956,521.037329264084,837.2126372672595,2895.6023552967354
1110.0,1925.905872911687,545.3943607008356,487.44435579869014,2895.6023552967354
1120.0,1359.4835687763816,653.4108862171132,299.6664812754339,2296.2615269171756
